"","Source","Target","Type","Kind","Id","Label","timeset","Weight","MMNT.EdgeType","Academic.Year"
"139","Andre Alen","Paul Van Orshoven","Undirected","co-promotion",145,"Theunis",NA,1,NA,"2010-2011"
"140","Jan Wouters","Koen Lenaerts","Undirected","co-promotion",146,"De Meester",NA,1,NA,"2010-2011"
"141","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",147,"Andries",NA,1,NA,"2010-2011"
"142","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",148,"Hoekx",NA,1,NA,"2010-2011"
"143","Herman Cousy","Caroline Van Schoubroeck","Undirected","co-promotion",149,"Thiery",NA,1,NA,"2009-2010"
"144","Koen Lenaerts","Frank Verbruggen","Undirected","co-promotion",150,"Gros-Tchorbadjiyska",NA,1,NA,"2009-2010"
"145","Marie-Claire Foblets","Paul Lemmens","Undirected","co-promotion",151,"Desmet",NA,1,NA,"2009-2010"
"146","Wouter Devroe","Julien Stuyck","Undirected","co-promotion",152,"Keirsbilck (!! Evelyne Terryn third co-promotor)",NA,1,NA,"2009-2010"
"147","Kurt Deketelaere","Geert Van Calster","Undirected","co-promotion",153,"Gao",NA,1,NA,"2009-2010"
"148","Jos Dumortier","Peggy Valcke","Undirected","co-promotion",154,"Lievens",NA,1,NA,"2008-2009"
"149","Frank Verbruggen","Johan Leman","Undirected","co-promotion",155,"Arsovska (!! Letizia Paoli third co-promotor)",NA,1,NA,"2008-2009"
"150","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",156,"Claeys",NA,1,NA,"2008-2009"
"151","Paul Lemmens","Jan Wouters","Undirected","co-promotion",157,"Vanneste",NA,1,NA,"2008-2009"
"152","Alain Laurent Verbeke","Bernard Tilleman","Undirected","co-promotion",158,"Vanhove",NA,1,NA,"2008-2009"
"153","Wouter Devroe","Luc De Broe","Undirected","co-promotion",159,"Vyncke",NA,1,NA,"2008-2009"
"154","Geert Vervaeke","Johan Goethals","Undirected","co-promotion",160,"Pleysier",NA,1,NA,"2008-2009"
"155","Walter Pintens","Frank Gotzen","Undirected","co-promotion",161,"Declerck",NA,1,NA,"2008-2009"
"156","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",162,"Demarsin",NA,1,NA,"2007-2008"
"157","Wouter Devroe","Julien Stuyck","Undirected","co-promotion",163,"Brammer",NA,1,NA,"2007-2008"
"158","Lieven Dupont","Antonius Peters","Undirected","co-promotion",164,"Maes",NA,1,NA,"2007-2008"
"159","Paul Lemmens","Stephan Parmentier","Undirected","co-promotion",165,"Sardaro",NA,1,NA,"2007-2008"
"160","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",166,"Dehouck",NA,1,NA,"2007-2008"
"161","Stephan Parmentier","Luc Huyse","Undirected","co-promotion",167,"Verdoodt",NA,1,NA,"2006-2007"
"162","Andre Alen","Rene Foque","Undirected","co-promotion",168,"Haljan",NA,1,NA,"2006-2007"
"163","Kurt Deketelaere","Anne Draye","Undirected","co-promotion",169,"Vanheusden",NA,1,NA,"2006-2007"
"164","Bernard Tilleman","Alain Laurent Verbeke","Undirected","co-promotion",170,"De Coninck",NA,1,NA,"2006-2007"
"165","Frans Vanistendael","Roger Blanpain","Undirected","co-promotion",171,"Tabu",NA,1,NA,"2006-2007"
"166","Herman Cousy","Julien Stuyck","Undirected","co-promotion",172,"Eyskens",NA,1,NA,"2006-2007"
"167","Herman Cousy","Eric Dirix","Undirected","co-promotion",173,"Vanmeenen",NA,1,NA,"2005-2006"
"168","Cyrille Fijnaut","Frank Hutsebaut","Undirected","co-promotion",174,"Goossens",NA,1,NA,"2005-2006"
"169","Alain Laurent Verbeke","Frans Bouckaert","Undirected","co-promotion",175,"Byttebier",NA,1,NA,"2005-2006"
"170","Julien Stuyck","Sophie Styns","Undirected","co-promotion",176,"Terryn",NA,1,NA,"2004-2005"
